"MasterCatalogName","CatalogName","ProductCode","IsActive","CategoryCodes","ProductName","Price","SalePrice","MSRP","MAP","MAPEffectiveStartDate","MAPEffectiveEndDate","ProductShortDescription","ContentFullProductDescription","SEOMetaTagTitle","SEOMetaTagDescription","SEOMetaTagKeywords","SEOFriendlyURL"
"Mystic Outdoors Master","Mystic Outdoors","HKFT_035","Yes","","Nepal Jr. Waterproof Hiking Boots - Kids'","65.00","","","","","","Lace up the Hi-Tec Nepal Jr. waterproof hiking boots on your young hiker's feet and enjoy a summer filled with fun family adventures.","•	Suede and mesh uppers have built-in waterproof booties to keep your child's feet dry on wet days&nbsp;<div>•	Soft padded collars are comfortable around the ankles&nbsp;</div><div>•	Soft, cushioned insoles absorb shock&nbsp;</div><div>•	Big-Fit dual-insole system lets you adjust the interior volume of the boots and create more space when your child's feet grow&nbsp;</div><div>•	Durable rubber outsoles can handle any trail

</div>","","•	Suede and mesh uppers have built-in waterproof booties to keep your child's feet dry on wet days •	Soft padded collars are comfortable around the ankles •	Soft, cushioned insoles absorb shock •	Big-Fit dual-insole system lets you adjust the interior volume of the boots and create more space when your child's feet grow •	Durable rubber outsoles can handle any trail","","nepal-jr.-waterproof-hiking-boots-kids-"
"Mystic Outdoors Master","Mystic Pro Outdoor","HKFT_034","Yes","","Koven Waterproof Hiking Boots - Kids'","70.00","","","","","","Designed specifically for young adventurers, the kids' KEEN Koven Mid WP hiking boots are modeled after mom and dad's version, but with attention to the features a youngster needs.","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate&nbsp;<div>•	Secure-fit lace capture system is easy for kids to adjust&nbsp;</div><div>•	Nonmarking rubber outsoles provide durable support and traction
</div>","","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate •	Secure-fit lace capture system is easy for kids to adjust •	Nonmarking rubber outsoles provide durable support and traction","","koven-waterproof-hiking-boots-kids-"
"Mystic Outdoors Master","Mystic Outdoors","HKFT_034","Yes","","Koven Waterproof Hiking Boots - Kids'","70.00","","","","","","Designed specifically for young adventurers, the kids' KEEN Koven Mid WP hiking boots are modeled after mom and dad's version, but with attention to the features a youngster needs.","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate&nbsp;<div>•	Secure-fit lace capture system is easy for kids to adjust&nbsp;</div><div>•	Nonmarking rubber outsoles provide durable support and traction
</div>","","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate •	Secure-fit lace capture system is easy for kids to adjust •	Nonmarking rubber outsoles provide durable support and traction","","koven-waterproof-hiking-boots-kids-"
"Mystic Outdoors Master","Mystic Pro Outdoor","HKFT_033","Yes","","Koven Low Waterproof Hiking Shoes - Kids'","65.00","","","","","","Low-cut for a lighter, more nimble feel than traditional hiking boots, young adventurers will love the comfort, support and waterproof protection of the KEEN Koven Low Waterproof Hiking Shoes.","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate&nbsp;<div>•	Secure-fit lace capture system is easy for kids to adjust&nbsp;</div><div>•	Nonmarking rubber outsoles provide durable support and traction
</div>","","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate •	Secure-fit lace capture system is easy for kids to adjust •	Nonmarking rubber outsoles provide durable support and traction","","koven-low-waterproof-hiking-shoes-kids-"
"Mystic Outdoors Master","Mystic Outdoors","HKFT_033","Yes","","Koven Low Waterproof Hiking Shoes - Kids'","65.00","","","","","","Low-cut for a lighter, more nimble feel than traditional hiking boots, young adventurers will love the comfort, support and waterproof protection of the KEEN Koven Low Waterproof Hiking Shoes.","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate&nbsp;<div>•	Secure-fit lace capture system is easy for kids to adjust&nbsp;</div><div>•	Nonmarking rubber outsoles provide durable support and traction
</div>","","•	Waterproof leather and mesh uppers with waterproof, breathable membranes protect feet from rain and puddles while allowing sweat to evaporate •	Secure-fit lace capture system is easy for kids to adjust •	Nonmarking rubber outsoles provide durable support and traction","","koven-low-waterproof-hiking-shoes-kids-"
"Mystic Outdoors Master","Mystic Pro Outdoor","HKFT_032","Yes","","Breeze 2.0 Waterproof Hiking Boots - Kids'","79.99","","","","","","The Vasque Breeze 2.0 Waterproof hiking boots offer kids a lightweight, comfortable hiking boot built for trail adventures.","•	Supple suede leather uppers with nylon inserts keep boots light and highly breathable in warm temperatures&nbsp;<div>•	UltraDry™ waterproof, breathable nylon linings keep feet dry during wet days by keeping water out and wicking moisture away&nbsp;</div><div>•	Protective toe bumpers shield toes and uppers from abrasion&nbsp;</div><div>•	Contoured, lightweight EVA footbeds and midsoles ensure comfortable cushioning and support&nbsp;</div><div>•	Vasque Contact rubber outsoles deliver durable traction and confident braking on uneven terrain&nbsp;</div><div>•	Reflective hits for visibility in low light

</div>","","•	Supple suede leather uppers with nylon inserts keep boots light and highly breathable in warm temperatures •	UltraDry™ waterproof, breathable nylon linings keep feet dry during wet days by keeping water out and wicking moisture away •	Protective toe bumpers shield toes and uppers from abrasion •	Contoured, lightweight EVA footbeds and midsoles ensure comfortable cushioning and support •	Vasque Contact rubber outsoles deliver durable traction and confident braking on uneven terrain •	Reflective hits for visibility in low light","","breeze-2.0-waterproof-hiking-boots-kids-"
"Mystic Outdoors Master","Mystic Outdoors","HKFT_032","Yes","","Breeze 2.0 Waterproof Hiking Boots - Kids'","79.99","","","","","","The Vasque Breeze 2.0 Waterproof hiking boots offer kids a lightweight, comfortable hiking boot built for trail adventures.","•	Supple suede leather uppers with nylon inserts keep boots light and highly breathable in warm temperatures&nbsp;<div>•	UltraDry™ waterproof, breathable nylon linings keep feet dry during wet days by keeping water out and wicking moisture away&nbsp;</div><div>•	Protective toe bumpers shield toes and uppers from abrasion&nbsp;</div><div>•	Contoured, lightweight EVA footbeds and midsoles ensure comfortable cushioning and support&nbsp;</div><div>•	Vasque Contact rubber outsoles deliver durable traction and confident braking on uneven terrain&nbsp;</div><div>•	Reflective hits for visibility in low light

</div>","","•	Supple suede leather uppers with nylon inserts keep boots light and highly breathable in warm temperatures •	UltraDry™ waterproof, breathable nylon linings keep feet dry during wet days by keeping water out and wicking moisture away •	Protective toe bumpers shield toes and uppers from abrasion •	Contoured, lightweight EVA footbeds and midsoles ensure comfortable cushioning and support •	Vasque Contact rubber outsoles deliver durable traction and confident braking on uneven terrain •	Reflective hits for visibility in low light","","breeze-2.0-waterproof-hiking-boots-kids-"
"Mystic Outdoors Master","Mystic Pro Outdoor","DOG_001","Yes","","Float Coat Dog PFD","79.95","","","","","","Help your dog stay buoyant on the water next time you take her out for a paddle, swim or surf session with this Ruffwear Float Coat dog PFD. It's designed for dogs of all shapes and sizes.","•	Abrasion-resistant fabric and water-compatible webbing remain stable in wet environs&nbsp;<div>•	Strategically placed foam panels support a natural swimming position&nbsp;</div><div>•	Telescoping neck closure adjusts for a range of dog sizes, yet remains permanently attached to the body of the life jacket&nbsp;</div><div>•	Strong handle lets you hoist your pup out of the water&nbsp;</div><div>•	Reflective trim
Light loop attaches to The Beacon pet safety light (sold separately)</div>","","•	Abrasion-resistant fabric and water-compatible webbing remain stable in wet environs •	Strategically placed foam panels support a natural swimming position •	Telescoping neck closure adjusts for a range of dog sizes, yet remains permanently attached to the body of the life jacket •	Strong handle lets you hoist your pup out of the water •	Reflective trim
Light loop attaches to The Beacon pet safety light (sold separately)","","ruffwear-float-coat-dog-pfd"
"Mystic Outdoors Master","Mystic Outdoors","DOG_001","Yes","","Float Coat Dog PFD","79.95","","","","","","Help your dog stay buoyant on the water next time you take her out for a paddle, swim or surf session with this Ruffwear Float Coat dog PFD. It's designed for dogs of all shapes and sizes.","•	Abrasion-resistant fabric and water-compatible webbing remain stable in wet environs&nbsp;<div>•	Strategically placed foam panels support a natural swimming position&nbsp;</div><div>•	Telescoping neck closure adjusts for a range of dog sizes, yet remains permanently attached to the body of the life jacket&nbsp;</div><div>•	Strong handle lets you hoist your pup out of the water&nbsp;</div><div>•	Reflective trim
Light loop attaches to The Beacon pet safety light (sold separately)</div>","","•	Abrasion-resistant fabric and water-compatible webbing remain stable in wet environs •	Strategically placed foam panels support a natural swimming position •	Telescoping neck closure adjusts for a range of dog sizes, yet remains permanently attached to the body of the life jacket •	Strong handle lets you hoist your pup out of the water •	Reflective trim
Light loop attaches to The Beacon pet safety light (sold separately)","","ruffwear-float-coat-dog-pfd"
"Mystic Outdoors Master","Mystic Pro Outdoor","COSTA2","Yes","219","Costa Lasercut Strap Gladiator Sandal","38.00","9.98","","","","","","","","","","costa-lasercut-strap-gladiator-sandal"
"Mystic Outdoors Master","Mystic Outdoors","COSTA2","Yes","","Costa Lasercut Strap Gladiator Sandal","38.00","9.98","","","","","","","","","","costa-lasercut-strap-gladiator-sandal"
"Mystic Outdoors Master","Mystic Pro Outdoor","CampStove_004","Yes","","Eta Spider Stove Set","160.00","","","","","","Thanks to a remote connection to the fuel canister, the hose-mounted Primus Eta Spider stove system has a lower center of gravity than standard stacked stoves for extra stability while cooking.","<ul><li>Eta Spider Stove includes burner, 1-liter pot, windscreen, plastic bowl for eating and serving, and a nylon carry bag for easy transport&nbsp;</li><li>Stove connects remotely to an isobutane gas canister (not included)&nbsp;</li><li>Primus Eta stoves achieve 40% greater fuel efficiency than standard stoves, letting you cook longer with less fuel&nbsp;</li><li>Piezo igniter sparks the stove to life with the push of a button, eliminating worries about wet matches or burning your hand&nbsp;</li><li>1-liter pot features heat-resistant silicone foldout handles and an integrated spout for easy pouring&nbsp;</li><li>Pot lid is made from BPA-free plastic and features an integrated colander for straining pasta&nbsp;</li><li>For the best fuel economy, turn the throttle approximately three-quarters of the way open<br></li></ul>","","Eta Spider Stove includes burner, 1-liter pot, windscreen, plastic bowl for eating and serving, and a nylon carry bag for easy transport Stove connects remotely to an isobutane gas canister (not included) Primus Eta stoves achieve 40% greater fuel efficiency than standard stoves, letting you cook longer with less fuel Piezo igniter sparks the stove to life with the push of a button, eliminating worries about wet matches or burning your hand 1-liter pot features heat-resistant silicone foldout handles and an integrated spout for easy pouring Pot lid is made from BPA-free plastic and features an integrated colander for straining pasta For the best fuel economy, turn the throttle approximately three-quarters of the way open","","eta-spider-stove-set"
"Mystic Outdoors Master","Mystic Outdoors","CampStove_004","Yes","CampKitchen","Eta Spider Stove Set","160.00","","","","","","Thanks to a remote connection to the fuel canister, the hose-mounted Primus Eta Spider stove system has a lower center of gravity than standard stacked stoves for extra stability while cooking.","<ul><li>Eta Spider Stove includes burner, 1-liter pot, windscreen, plastic bowl for eating and serving, and a nylon carry bag for easy transport&nbsp;</li><li>Stove connects remotely to an isobutane gas canister (not included)&nbsp;</li><li>Primus Eta stoves achieve 40% greater fuel efficiency than standard stoves, letting you cook longer with less fuel&nbsp;</li><li>Piezo igniter sparks the stove to life with the push of a button, eliminating worries about wet matches or burning your hand&nbsp;</li><li>1-liter pot features heat-resistant silicone foldout handles and an integrated spout for easy pouring&nbsp;</li><li>Pot lid is made from BPA-free plastic and features an integrated colander for straining pasta&nbsp;</li><li>For the best fuel economy, turn the throttle approximately three-quarters of the way open<br></li></ul>","","Eta Spider Stove includes burner, 1-liter pot, windscreen, plastic bowl for eating and serving, and a nylon carry bag for easy transport Stove connects remotely to an isobutane gas canister (not included) Primus Eta stoves achieve 40% greater fuel efficiency than standard stoves, letting you cook longer with less fuel Piezo igniter sparks the stove to life with the push of a button, eliminating worries about wet matches or burning your hand 1-liter pot features heat-resistant silicone foldout handles and an integrated spout for easy pouring Pot lid is made from BPA-free plastic and features an integrated colander for straining pasta For the best fuel economy, turn the throttle approximately three-quarters of the way open","","eta-spider-stove-set"
"Mystic Outdoors Master","Mystic Pro Outdoor","CampStove_003","Yes","","Eta Lite Black Stove System","100.00","","","","","","Boil water and cook 1-pot meals fast and efficiently with the Eta Lite stove system from Primus. The pot attaches to the stove burner for great performance and convenience on your backpacking trips.","<ul><li>0.5-liter anodized aluminum pot connects directly to the stove for excellent heat transfer; built-in windscreen and heat exchanger on the pot maximize efficiency&nbsp;</li><li>Boil a half liter of water in less than 3 min.; a single 100g fuel canister (not included) will provide approximately 59 min. of total burn time&nbsp;</li><li>Stove burner and cooking cup twist together to create a single convenient system for cooking</li><li>Lid features an integrated strainer for straining pasta or steaming vegetables
Insulating cozy on the cooking cup stays in place during cooking without melting, thereby increasing heat retention and efficiency&nbsp;</li><li>Webbing strap pulls double-duty as a pot handle when cooking and as a top strap to keep the whole system contained when it's in your pack
Integrated piezo igniter lights the stove system with a simple click&nbsp;</li><li>Stove burner and 110g fuel canister (not included) stow inside the cup
Included stabilizer widens the overall stove base for enhanced stability<br></li></ul>","","0.5-liter anodized aluminum pot connects directly to the stove for excellent heat transfer; built-in windscreen and heat exchanger on the pot maximize efficiency Boil a half liter of water in less than 3 min.; a single 100g fuel canister (not included) will provide approximately 59 min. of total burn time Stove burner and cooking cup twist together to create a single convenient system for cookingLid features an integrated strainer for straining pasta or steaming vegetables
Insulating cozy on the cooking cup stays in place during cooking without melting, thereby increasing heat retention and efficiency Webbing strap pulls double-duty as a pot handle when cooking and as a top strap to keep the whole system contained when it's in your pack
Integrated piezo igniter lights the stove system with a simple click Stove burner and 110g fuel canister (not included) stow inside the cup
Included stabilizer widens the overall stove base for enhanced stability","","eta-lite-black-stove-system"
